filename, language, Properties, JSON, Vue, JavaScript, Markdown, HTML, CSS, XML, comment, blank, total
f:\vscode\learnVuejs-axios\supermall\.editorconfig, Properties, 8, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
f:\vscode\learnVuejs-axios\supermall\README.md, Markdown, 0, 0, 0, 0, 15, 0, 0, 0, 0, 5, 20
f:\vscode\learnVuejs-axios\supermall\babel.config.js, JavaScript, 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
f:\vscode\learnVuejs-axios\supermall\package-lock.json, JSON, 0, 10912, 0, 0, 0, 0, 0, 0, 0, 1, 10913
f:\vscode\learnVuejs-axios\supermall\package.json, JSON, 0, 24, 0, 0, 0, 0, 0, 0, 0, 1, 25
f:\vscode\learnVuejs-axios\supermall\public\index.html, HTML, 0, 0, 0, 0, 0, 20, 0, 0, 2, 1, 23
f:\vscode\learnVuejs-axios\supermall\src\App.vue, Vue, 0, 0, 20, 0, 0, 0, 0, 0, 0, 5, 25
f:\vscode\learnVuejs-axios\supermall\src\assets\css\base.css, CSS, 0, 0, 0, 0, 0, 0, 46, 0, 2, 9, 57
f:\vscode\learnVuejs-axios\supermall\src\assets\css\normalize.css, CSS, 0, 0, 0, 0, 0, 0, 143, 0, 128, 73, 344
f:\vscode\learnVuejs-axios\supermall\src\assets\img\cart\tick.svg, XML, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
f:\vscode\learnVuejs-axios\supermall\src\assets\img\common\arrow-left.svg, XML, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
f:\vscode\learnVuejs-axios\supermall\src\assets\img\common\back.svg, XML, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
f:\vscode\learnVuejs-axios\supermall\src\assets\img\common\collect.svg, XML, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
f:\vscode\learnVuejs-axios\supermall\src\assets\img\profile\avatar.svg, XML, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
f:\vscode\learnVuejs-axios\supermall\src\assets\img\profile\cart.svg, XML, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
f:\vscode\learnVuejs-axios\supermall\src\assets\img\profile\message.svg, XML, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
f:\vscode\learnVuejs-axios\supermall\src\assets\img\profile\phone.svg, XML, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
f:\vscode\learnVuejs-axios\supermall\src\assets\img\profile\pointer.svg, XML, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
f:\vscode\learnVuejs-axios\supermall\src\assets\img\profile\shopping.svg, XML, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
f:\vscode\learnVuejs-axios\supermall\src\assets\img\profile\vip.svg, XML, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
f:\vscode\learnVuejs-axios\supermall\src\assets\img\tabbar\category.svg, XML, 0, 0, 0, 0, 0, 0, 0, 21, 0, 1, 22
f:\vscode\learnVuejs-axios\supermall\src\assets\img\tabbar\category_active.svg, XML, 0, 0, 0, 0, 0, 0, 0, 21, 0, 1, 22
f:\vscode\learnVuejs-axios\supermall\src\assets\img\tabbar\home.svg, XML, 0, 0, 0, 0, 0, 0, 0, 19, 0, 1, 20
f:\vscode\learnVuejs-axios\supermall\src\assets\img\tabbar\home_active.svg, XML, 0, 0, 0, 0, 0, 0, 0, 19, 0, 1, 20
